Accident Type,MAIS,PassengerCar_Count,PassengerCar_%,LightTruck_Count,LightTruck_%,HeavyTruck_Count,HeavyTruck_%,AverageOf_PassengerCar_and_HeavyTruck
21,1,396,38.33494676,203,40.84507042,22,19.46902655,28.90198665
21,2,26,2.516940949,19,3.822937626,5,4.424778761,3.470859855
21,3,14,1.355275895,14,2.816901408,5,4.424778761,2.890027328
21,4,0,0,0,0,1,0.884955752,0.442477876
21,5,11,1.064859632,0,0,0,0,0.532429816
21,6,1,0.096805421,0,0,2,1.769911504,0.933358463
21,7,42,4.065827686,11,2.213279678,3,2.654867257,3.360347471
6,0,35,13.671875,21,18.75,2,4.87804878,9.27496189
6,1,74,28.90625,34,30.35714286,18,43.90243902,36.40434451
6,2,49,19.140625,16,14.28571429,10,24.3902439,21.76543445
6,3,51,19.921875,19,16.96428571,7,17.07317073,18.49752287
6,4,20,7.8125,8,7.142857143,2,4.87804878,6.34527439
6,5,11,4.296875,8,7.142857143,2,4.87804878,4.58746189
6,6,7,2.734375,3,2.678571429,0,0,1.3671875
6,7,9,3.515625,3,2.678571429,0,0,1.7578125
56,0,0,0,0,0,0,0,0
56,1,0,0,0,0,0,0,0
56,2,0,0,0,0,0,0,0
56,3,0,0,0,0,0,0,0
56,4,0,0,0,0,0,0,0
56,5,0,0,0,0,0,0,0
56,6,0,0,0,0,0,0,0
56,7,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0
23,1,0,0,0,0,0,0,0
23,2,0,0,0,0,0,0,0
23,3,0,0,0,0,0,0,0
23,4,0,0,0,0,0,0,0
23,5,0,0,0,0,0,0,0
23,6,0,0,0,0,0,0,0
23,7,0,0,0,0,0,0,0
81,0,0,0,0,0,0,0,0
81,1,0,0,0,0,0,0,0
81,2,0,0,0,0,0,0,0
81,3,0,0,0,0,0,0,0
81,4,0,0,0,0,0,0,0
81,5,0,0,0,0,0,0,0
81,6,0,0,0,0,0,0,0
81,7,0,0,0,0,0,0,0
11,0,22,37.93103448,5,35.71428571,3,100,68.96551724
11,1,22,37.93103448,2,14.28571429,0,0,18.96551724
11,2,4,6.896551724,3,21.42857143,0,0,3.448275862
11,3,4,6.896551724,3,21.42857143,0,0,3.448275862
11,4,1,1.724137931,0,0,0,0,0.862068966
11,5,1,1.724137931,0,0,0,0,0.862068966
11,6,0,0,0,0,0,0,0
11,7,4,6.896551724,1,7.142857143,0,0,3.448275862
46,0,0,0,0,0,0,0,0
46,1,0,0,0,0,0,0,0
46,2,0,0,0,0,0,0,0
46,3,0,0,0,0,0,0,0
46,4,0,0,0,0,0,0,0
46,5,0,0,0,0,0,0,0
46,6,0,0,0,0,0,0,0
46,7,0,0,0,0,0,0,0
72,0,0,0,0,0,0,0,0
72,1,0,0,0,0,0,0,0
72,2,0,0,0,0,0,0,0
72,3,0,0,0,0,0,0,0
72,4,0,0,0,0,0,0,0
72,5,0,0,0,0,0,0,0
72,6,0,0,0,0,0,0,0
72,7,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0
41,1,0,0,0,0,0,0,0
41,2,0,0,0,0,0,0,0
41,3,0,0,0,0,0,0,0
41,4,0,0,0,0,0,0,0
41,5,0,0,0,0,0,0,0
41,6,0,0,0,0,0,0,0
41,7,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
4,1,0,0,0,0,0,0,0
4,2,0,0,0,0,0,0,0
4,3,0,0,0,0,0,0,0
4,4,0,0,0,0,0,0,0
4,5,0,0,0,0,0,0,0
4,6,0,0,0,0,0,0,0
4,7,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0,0
77,1,0,0,0,0,0,0,0
77,2,0,0,0,0,0,0,0
77,3,0,0,0,0,0,0,0
77,4,0,0,0,0,0,0,0
77,5,0,0,0,0,0,0,0
77,6,0,0,0,0,0,0,0
77,7,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0
35,1,0,0,0,0,0,0,0
35,2,0,0,0,0,0,0,0
35,3,0,0,0,0,0,0,0
35,4,0,0,0,0,0,0,0
35,5,0,0,0,0,0,0,0
35,6,0,0,0,0,0,0,0
35,7,0,0,0,0,0,0,0
65,0,71,26.49253731,38,17.9245283,35,32.71028037,29.60140884
65,1,91,33.95522388,110,51.88679245,37,34.57943925,34.26733157
65,2,23,8.582089552,29,13.67924528,17,15.88785047,12.23497001
65,3,29,10.82089552,20,9.433962264,6,5.607476636,8.214186079
65,4,5,1.865671642,5,2.358490566,6,5.607476636,3.736574139
65,5,3,1.119402985,4,1.886792453,2,1.869158879,1.494280932
65,6,10,3.731343284,2,0.943396226,0,0,1.865671642
65,7,36,13.43283582,4,1.886792453,4,3.738317757,8.585576789
49,0,0,0,0,0,0,0,0
49,1,0,0,0,0,0,0,0
49,2,0,0,0,0,0,0,0
49,3,0,0,0,0,0,0,0
49,4,0,0,0,0,0,0,0
49,5,0,0,0,0,0,0,0
49,6,0,0,0,0,0,0,0
49,7,0,0,0,0,0,0,0
91,0,0,0,0,0,0,0,0
91,1,0,0,0,0,0,0,0
91,2,0,0,0,0,0,0,0
91,3,0,0,0,0,0,0,0
91,4,0,0,0,0,0,0,0
91,5,0,0,0,0,0,0,0
91,6,0,0,0,0,0,0,0
91,7,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0
16,1,0,0,0,0,0,0,0
16,2,0,0,0,0,0,0,0
16,3,0,0,0,0,0,0,0
16,4,0,0,0,0,0,0,0
16,5,0,0,0,0,0,0,0
16,6,0,0,0,0,0,0,0
16,7,0,0,0,0,0,0,0
74,0,0,0,0,0,0,0,0
74,1,0,0,0,0,0,0,0
74,2,0,0,0,0,0,0,0
74,3,0,0,0,0,0,0,0
74,4,0,0,0,0,0,0,0
74,5,0,0,0,0,0,0,0
74,6,0,0,0,0,0,0,0
74,7,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0
53,1,0,0,0,0,0,0,0
53,2,0,0,0,0,0,0,0
53,3,0,0,0,0,0,0,0
53,4,0,0,0,0,0,0,0
53,5,0,0,0,0,0,0,0
53,6,0,0,0,0,0,0,0
53,7,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,0,0
,2,0,0,0,0,0,0,0
,3,0,0,0,0,0,0,0
,4,0,0,0,0,0,0,0
,5,0,0,0,0,0,0,0
,6,0,0,0,0,0,0,0
,7,0,0,0,0,0,0,0
92,0,0,0,0,0,0,0,0
92,1,0,0,0,0,0,0,0
92,2,0,0,0,0,0,0,0
92,3,0,0,0,0,0,0,0
92,4,0,0,0,0,0,0,0
92,5,0,0,0,0,0,0,0
92,6,0,0,0,0,0,0,0
92,7,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0
22,1,0,0,0,0,0,0,0
22,2,0,0,0,0,0,0,0
22,3,0,0,0,0,0,0,0
22,4,0,0,0,0,0,0,0
22,5,0,0,0,0,0,0,0
22,6,0,0,0,0,0,0,0
22,7,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0
31,1,0,0,0,0,0,0,0
31,2,0,0,0,0,0,0,0
31,3,0,0,0,0,0,0,0
31,4,0,0,0,0,0,0,0
31,5,0,0,0,0,0,0,0
31,6,0,0,0,0,0,0,0
31,7,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0
90,1,0,0,0,0,0,0,0
90,2,0,0,0,0,0,0,0
90,3,0,0,0,0,0,0,0
90,4,0,0,0,0,0,0,0
90,5,0,0,0,0,0,0,0
90,6,0,0,0,0,0,0,0
90,7,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0
59,1,0,0,0,0,0,0,0
59,2,0,0,0,0,0,0,0
59,3,0,0,0,0,0,0,0
59,4,0,0,0,0,0,0,0
59,5,0,0,0,0,0,0,0
59,6,0,0,0,0,0,0,0
59,7,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0
54,1,0,0,0,0,0,0,0
54,2,0,0,0,0,0,0,0
54,3,0,0,0,0,0,0,0
54,4,0,0,0,0,0,0,0
54,5,0,0,0,0,0,0,0
54,6,0,0,0,0,0,0,0
54,7,0,0,0,0,0,0,0
82,0,436,34.46640316,131,33.67609254,35,22.58064516,28.52352416
